match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
433600,Pakistan,West Indies,2011-03-23,2011,Shere Bangla National Stadium,West Indies,bat,Pakistan,
433601,India,Australia,2011-03-24,2011,"Sardar Patel Stadium, Motera",Australia,bat,India,
433602,New Zealand,South Africa,2011-03-25,2011,Shere Bangla National Stadium,New Zealand,bat,New Zealand,
433603,Sri Lanka,England,2011-03-26,2011,R Premadasa Stadium,England,bat,Sri Lanka,
433604,Sri Lanka,New Zealand,2011-03-29,2011,R Premadasa Stadium,New Zealand,bat,Sri Lanka,
433605,India,Pakistan,2011-03-30,2011,"Punjab Cricket Association Stadium, Mohali",India,bat,India,
433606,India,Sri Lanka,2011-04-02,2011,Wankhede Stadium,Sri Lanka,bat,India,
503363,Bangladesh,Australia,2011-04-09,2011,Shere Bangla National Stadium,Bangladesh,field,Australia,
503364,Bangladesh,Australia,2011-04-11,2011,Shere Bangla National Stadium,Bangladesh,bat,Australia,
503365,Bangladesh,Australia,2011-04-13,2011,Shere Bangla National Stadium,Australia,bat,Australia,
489213,West Indies,Pakistan,2011-04-23,2011,"Beausejour Stadium, Gros Islet",West Indies,bat,Pakistan,
489214,West Indies,Pakistan,2011-04-25,2011,"Beausejour Stadium, Gros Islet",Pakistan,field,Pakistan,
489215,West Indies,Pakistan,2011-04-28,2011,"Kensington Oval, Bridgetown",Pakistan,field,Pakistan,
489216,West Indies,Pakistan,2011-05-02,2011,"Kensington Oval, Bridgetown",West Indies,field,West Indies,y
489217,West Indies,Pakistan,2011-05-05,2011,Providence Stadium,Pakistan,bat,West Indies,
489221,West Indies,India,2011-06-06,2011,"Queen's Park Oval, Port of Spain",West Indies,bat,India,
489222,West Indies,India,2011-06-08,2011,"Queen's Park Oval, Port of Spain",India,field,India,y
489223,West Indies,India,2011-06-11,2011,"Sir Vivian Richards Stadium, North Sound",India,field,India,
489224,West Indies,India,2011-06-13,2011,"Sir Vivian Richards Stadium, North Sound",India,field,West Indies,
489225,West Indies,India,2011-06-16,2011,"Sabina Park, Kingston",West Indies,field,West Indies,
474467,England,Sri Lanka,2011-06-28,2011,Kennington Oval,Sri Lanka,field,England,y
474468,England,Sri Lanka,2011-07-01,2011,Headingley,England,field,Sri Lanka,
474469,England,Sri Lanka,2011-07-03,2011,Lord's,England,bat,Sri Lanka,
474470,England,Sri Lanka,2011-07-06,2011,Trent Bridge,England,field,England,y
474471,England,Sri Lanka,2011-07-09,2011,Old Trafford,England,bat,England,
516206,Sri Lanka,Australia,2011-08-10,2011,Pallekele International Cricket Stadium,Sri Lanka,bat,Australia,
522246,Zimbabwe,Bangladesh,2011-08-12,2011,Harare Sports Club,Zimbabwe,field,Zimbabwe,
522247,Zimbabwe,Bangladesh,2011-08-14,2011,Harare Sports Club,Zimbabwe,field,Zimbabwe,
516207,Sri Lanka,Australia,2011-08-14,2011,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Australia,
522248,Zimbabwe,Bangladesh,2011-08-16,2011,Harare Sports Club,Bangladesh,field,Zimbabwe,
516208,Sri Lanka,Australia,2011-08-16,2011,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Australia,field,Sri Lanka,
522249,Zimbabwe,Bangladesh,2011-08-19,2011,Queens Sports Club,Bangladesh,field,Bangladesh,
516209,Sri Lanka,Australia,2011-08-20,2011,R Premadasa Stadium,Sri Lanka,bat,Australia,
522250,Zimbabwe,Bangladesh,2011-08-21,2011,Queens Sports Club,Zimbabwe,field,Bangladesh,
516210,Sri Lanka,Australia,2011-08-22,2011,R Premadasa Stadium,Sri Lanka,field,Sri Lanka,
483126,Ireland,England,2011-08-25,2011,Clontarf Cricket Club Ground,Ireland,field,England,y
474477,England,India,2011-09-03,2011,Riverside Ground,England,field,No Result,
474478,England,India,2011-09-06,2011,The Rose Bowl,England,field,England,
523732,Zimbabwe,Pakistan,2011-09-08,2011,Queens Sports Club,Pakistan,bat,Pakistan,
474479,England,India,2011-09-09,2011,Kennington Oval,England,field,England,y
523733,Zimbabwe,Pakistan,2011-09-11,2011,Harare Sports Club,Zimbabwe,bat,Pakistan,
474480,England,India,2011-09-11,2011,Lord's,England,field,No Result,
523734,Zimbabwe,Pakistan,2011-09-14,2011,Harare Sports Club,Zimbabwe,field,Pakistan,
474481,England,India,2011-09-16,2011,Sophia Gardens,England,field,England,y
531983,Bangladesh,West Indies,2011-10-13,2011,Shere Bangla National Stadium,Bangladesh,field,West Indies,
521218,India,England,2011-10-14,2011,"Rajiv Gandhi International Stadium, Uppal",India,bat,India,
531984,Bangladesh,West Indies,2011-10-15,2011,Shere Bangla National Stadium,Bangladesh,bat,West Indies,
521219,India,England,2011-10-17,2011,Feroz Shah Kotla,England,bat,India,
531985,Bangladesh,West Indies,2011-10-18,2011,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,
514025,South Africa,Australia,2011-10-19,2011,SuperSport Park,South Africa,field,Australia,y
527014,Zimbabwe,New Zealand,2011-10-20,2011,Harare Sports Club,Zimbabwe,bat,New Zealand,
521220,India,England,2011-10-20,2011,"Punjab Cricket Association Stadium, Mohali",England,bat,India,
527015,Zimbabwe,New Zealand,2011-10-22,2011,Harare Sports Club,New Zealand,field,New Zealand,
521221,India,England,2011-10-23,2011,Wankhede Stadium,England,bat,India,
514026,South Africa,Australia,2011-10-23,2011,St George's Park,South Africa,bat,South Africa,
527016,Zimbabwe,New Zealand,2011-10-25,2011,Queens Sports Club,New Zealand,bat,Zimbabwe,
521222,India,England,2011-10-25,2011,Eden Gardens,England,field,India,
514027,South Africa,Australia,2011-10-28,2011,Kingsmead,South Africa,bat,Australia,
530427,Pakistan,Sri Lanka,2011-11-11,2011,Dubai International Cricket Stadium,Sri Lanka,bat,Pakistan,
530428,Pakistan,Sri Lanka,2011-11-14,2011,Dubai International Cricket Stadium,Sri Lanka,bat,Sri Lanka,
530429,Pakistan,Sri Lanka,2011-11-18,2011,Dubai International Cricket Stadium,Pakistan,bat,Pakistan,
530430,Pakistan,Sri Lanka,2011-11-20,2011,Sharjah Cricket Stadium,Pakistan,bat,Pakistan,
530431,Pakistan,Sri Lanka,2011-11-23,2011,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan,
536929,India,West Indies,2011-11-29,2011,Barabati Stadium,India,field,India,
538069,Bangladesh,Pakistan,2011-12-01,2011,Shere Bangla National Stadium,Bangladesh,bat,Pakistan,
536930,India,West Indies,2011-12-02,2011,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India,
538070,Bangladesh,Pakistan,2011-12-03,2011,Shere Bangla National Stadium,Pakistan,bat,Pakistan,
536931,India,West Indies,2011-12-05,2011,"Sardar Patel Stadium, Motera",India,field,West Indies,
538071,Bangladesh,Pakistan,2011-12-06,2011,Zahur Ahmed Chowdhury Stadium,Pakistan,bat,Pakistan,
536932,India,West Indies,2011-12-08,2011,Holkar Cricket Stadium,India,bat,India,
536933,India,West Indies,2011-12-11,2011,"MA Chidambaram Stadium, Chepauk",India,bat,India,
514035,South Africa,Sri Lanka,2012-01-11,2012,Boland Park,South Africa,bat,South Africa,
